goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37020	     31516 ns/op	   12600 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37935	     31697 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37970	     31824 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37202	     32076 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37552	     31816 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37725	     31803 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37903	     31886 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37720	     31771 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37284	     32108 ns/op	   12602 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/table_shape-24         	   37702	     32238 ns/op	   12601 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9488	    127337 ns/op	   12928 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    8986	    127467 ns/op	   12930 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9252	    126779 ns/op	   12930 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9046	    126781 ns/op	   12931 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9297	    126329 ns/op	   12929 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9506	    126797 ns/op	   12929 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9373	    126936 ns/op	   12930 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9342	    126432 ns/op	   12930 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9259	    126798 ns/op	   12929 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_32/count-24               	    9157	    126700 ns/op	   12930 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3103	    385863 ns/op	   38262 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3104	    386843 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3084	    386553 ns/op	   38262 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3105	    385363 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3038	    391430 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3040	    387929 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3044	    387086 ns/op	   38265 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3111	    388388 ns/op	   38268 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3067	    388147 ns/op	   38265 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/table_shape-24        	    3110	    387568 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     648	   1841874 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     649	   1840802 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     651	   1841938 ns/op	   38557 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1842065 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1840036 ns/op	   38557 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1845920 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     648	   1846860 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1845178 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1847279 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_128/count-24              	     650	   1848124 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5632949 ns/op	  152024 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5642006 ns/op	  152009 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5647667 ns/op	  152075 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     211	   5625958 ns/op	  152028 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5603564 ns/op	  152020 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5637118 ns/op	  152075 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5612428 ns/op	  152010 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5638260 ns/op	  152019 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5607137 ns/op	  152006 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5614485 ns/op	  152085 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28645191 ns/op	  152252 B/op	      73 allocs/op
