goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     490	   2354610 ns/op	   38564 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     510	   2348067 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     507	   2350128 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     506	   2354245 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     505	   2350857 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     510	   2351040 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     511	   2357899 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     508	   2353840 ns/op	   38557 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     507	   2348815 ns/op	   38557 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     507	   2357397 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100986148 ns/op	   40402 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100833220 ns/op	   40402 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100798436 ns/op	   40333 B/op	      76 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100805377 ns/op	   40409 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100838843 ns/op	   40409 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101051794 ns/op	   40402 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101122086 ns/op	   40402 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101140849 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 100870942 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101485762 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4650914 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4665026 ns/op	   51872 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4659110 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4678152 ns/op	   51872 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4670737 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4650685 ns/op	   51872 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4653339 ns/op	   51872 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4654801 ns/op	   51872 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     255	   4662672 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain4/count-24         	     256	   4664997 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7606615 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     156	   7609262 ns/op	   64064 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7592696 ns/op	   64056 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7604926 ns/op	   64059 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7597613 ns/op	   64046 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7587297 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7596680 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7613138 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7590019 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain5_rows_128/count-24         	     157	   7634543 ns/op	   64053 B/op	     110 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3847	    306390 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3882	    304716 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3909	    305733 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3914	    305307 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3866	    305570 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3868	    305081 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3916	    306916 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3909	    305247 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3913	    306427 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3940	    305897 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1705	    707849 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1684	    710538 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1689	    708313 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1678	    705997 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1701	    709042 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1699	    705033 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1696	    707951 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1702	    702370 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1699	    705748 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1701	    705665 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     502	   2350849 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     510	   2349434 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     508	   2363051 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     508	   2343583 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     510	   2348587 ns/op	   38556 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     510	   2353345 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     506	   2355246 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     507	   2359879 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     510	   2356344 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     506	   2348575 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     506	   2357069 ns/op	   38557 B/op	      73 allocs/op
