goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     504	   2363983 ns/op	   38582 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     502	   2353487 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     508	   2352803 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     506	   2356555 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     507	   2355769 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     510	   2354218 ns/op	   38556 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     506	   2370211 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     506	   2358777 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     507	   2363989 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24         	     506	   2357677 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101242819 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101390308 ns/op	   40324 B/op	      76 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101432903 ns/op	   40324 B/op	      76 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24    	      14	 101251001 ns/op	   40401 B/op	      77 allocs/op
