goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     109	  11025917 ns/op	   38613 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     108	  11052089 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     108	  11169735 ns/op	   38615 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     108	  11125217 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     106	  11245915 ns/op	   38617 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     106	  11096194 ns/op	   38617 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     105	  11019239 ns/op	   38608 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     106	  11160916 ns/op	   38617 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     108	  11131985 ns/op	   38615 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_star-24         	     108	  10998719 ns/op	   38615 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     106	  11070732 ns/op	   38618 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     106	  11048157 ns/op	   38618 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     108	  11056024 ns/op	   38664 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     108	  11166218 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     106	  11116935 ns/op	   38617 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     108	  11032691 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     106	  11092925 ns/op	   38618 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     105	  11606488 ns/op	   38608 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     105	  11357064 ns/op	   38619 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_column-24       	     105	  11228698 ns/op	   38619 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     106	  11304650 ns/op	   48801 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     105	  11167854 ns/op	   48803 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     106	  11196648 ns/op	   48801 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     106	  11177316 ns/op	   48801 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     105	  11282353 ns/op	   48804 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     105	  11196126 ns/op	   48803 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     105	  11200517 ns/op	   48804 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     106	  11136465 ns/op	   48801 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     106	  11112384 ns/op	   48802 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/count_distinct-24     	     108	  11137355 ns/op	   48799 B/op	     117 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     108	  11090909 ns/op	   38742 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11110421 ns/op	   38746 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11135178 ns/op	   38745 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11202059 ns/op	   38745 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     108	  11108067 ns/op	   38742 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     108	  11304040 ns/op	   38731 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11049118 ns/op	   38734 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11158173 ns/op	   38745 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11178213 ns/op	   38745 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_32x32/sum-24                	     106	  11099333 ns/op	   38734 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16385514 ns/op	   38692 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16325643 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16510323 ns/op	   38692 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16449337 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16351790 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16390792 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16388306 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16575693 ns/op	   38694 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16373578 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16431990 ns/op	   38713 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16389728 ns/op	   38707 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16397633 ns/op	   38711 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16481071 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16461073 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16411530 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16294312 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16528638 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16354187 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16361951 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16545434 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16483598 ns/op	   50301 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16515642 ns/op	   50303 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16514680 ns/op	   50286 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16535969 ns/op	   50301 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      73	  16395839 ns/op	   50297 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16495129 ns/op	   50301 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16457864 ns/op	   50284 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16465783 ns/op	   50301 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16392346 ns/op	   50286 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_distinct-24     	      72	  16369260 ns/op	   50301 B/op	     125 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/sum-24                	      73	  16381762 ns/op	   38833 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/sum-24                	      72	  16389947 ns/op	   38839 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/sum-24                	      73	  16470449 ns/op	   38835 B/op	      75 allocs/op
