goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16260932 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16330643 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16419098 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16487095 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16365730 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16472775 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16495788 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      72	  16325771 ns/op	   38694 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16429297 ns/op	   38705 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_star-24         	      73	  16307050 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16615300 ns/op	   38693 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16488722 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16251314 ns/op	   38690 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      73	  16506435 ns/op	   38689 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16570924 ns/op	   38709 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_40x40/count_column-24       	      72	  16534717 ns/op	   38711 B/op	      73 allocs/op
