goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22542362 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22627645 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22562508 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22847370 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22503020 ns/op	   38610 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22568673 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  22595308 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22676807 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22652432 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  22665134 ns/op	   38638 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22697050 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22675284 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22634756 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22684149 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22658649 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22628401 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22684990 ns/op	   38610 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22889989 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22734710 ns/op	   38610 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22801016 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  22853455 ns/op	   51819 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22727973 ns/op	   51803 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22708259 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  22724736 ns/op	   51798 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22715502 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22760209 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  22835755 ns/op	   51819 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22711678 ns/op	   51829 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22732576 ns/op	   51803 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  22847410 ns/op	   51819 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22685699 ns/op	   38738 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22677691 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22588527 ns/op	   38742 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22655916 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22674486 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22682990 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22582468 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22655464 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22685493 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22627801 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30310564 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30476185 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30540235 ns/op	   38675 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30199456 ns/op	   38710 B/op	      73 allocs/op
