goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30522847 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30406733 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30374520 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30477228 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30380174 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30627270 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30662479 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30406331 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30997414 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30548045 ns/op	   38682 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30599861 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30342282 ns/op	   38679 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30521550 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30750998 ns/op	   38682 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30486853 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30247973 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30402739 ns/op	   38679 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30423175 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30640728 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30270583 ns/op	   38672 B/op	      73 allocs/op
