goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  38852145 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  38989462 ns/op	   38750 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39095174 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39038565 ns/op	   38750 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  38875978 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  38885024 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  38751866 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39035270 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39032574 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39003193 ns/op	   38790 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38819057 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38945903 ns/op	   38788 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38960653 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39004203 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39151437 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38986459 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38817211 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39589471 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38856776 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  38939684 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39401125 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39166010 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39028270 ns/op	   59462 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39106885 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39025028 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  40789520 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      28	  40279534 ns/op	   59525 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39464883 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      28	  40407472 ns/op	   59525 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39794233 ns/op	   59462 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39305739 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39137962 ns/op	   38878 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39342571 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39367337 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  38953880 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39094801 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39118442 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39079061 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39183534 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39286427 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  49088851 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  49341505 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48795467 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48811920 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  49331835 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48765862 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48728369 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48971404 ns/op	   38832 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48991536 ns/op	   38828 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_star-24         	      24	  48833963 ns/op	   38882 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  48865248 ns/op	   38882 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  48921176 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  48918946 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  49202603 ns/op	   38882 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  48901504 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  49343281 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  49087309 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  49138141 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  48936481 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_column-24       	      24	  49129571 ns/op	   38878 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      22	  49333310 ns/op	   60989 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  49253666 ns/op	   60998 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  48905445 ns/op	   60998 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  49383746 ns/op	   60948 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  49099748 ns/op	   60998 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  49102330 ns/op	   60998 B/op	     159 allocs/op
